PPID,PID,Process Name,Process Command Line,Process Path,Process SHA-256 Hash,Process State,Win32 First Seen,Win32 Last Seen,Sysmon Event ID,Sysmon Create Time,Sysmon Terminate Time,Connection State,Connection Start Time,Connection Terminate Time, IP Address,FQDN,Source Port,Destination Port,Transport Protocol
"N/A","4","System.exe","","","","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"N/A","4","  +- [connection]","","","","","","","","","","LISTENING","2026-02-15 11:39:04","","","","80","","TCP"
"N/A","4","  +- [connection]","","","","","","","","","","LISTENING","2026-02-15 11:39:04","","","","445","","TCP"
"N/A","4","  +- [connection]","","","","","","","","","","LISTENING","2026-02-15 11:39:04","","127.0.0.1","","8884","","TCP"
"N/A","4","  +- [connection]","","","","","","","","","","LISTENING","2026-02-15 11:39:04","","172.21.1.128","","139","","TCP"
"N/A","4","  +- [connection]","","","","","","","","","","LISTENING","2026-02-15 11:39:04","","192.168.0.237","","139","","TCP"
"N/A","4","  +- [connection]","","","","","","","","","","LISTENING","2026-02-15 11:39:04","","192.168.56.1","","139","","TCP"
"N/A","4","  +- [connection]","","","","","","","","","","LISTENING","2026-02-15 11:39:04","","","","80","","TCP"
"N/A","4","  +- [connection]","","","","","","","","","","LISTENING","2026-02-15 11:39:04","","","","445","","TCP"
"N/A","4","  +- [connection]","","","","","","","","","","CONNECTIONLESS","2026-02-15 11:39:04","","172.21.1.128","","137","","UDP"
"N/A","4","  +- [connection]","","","","","","","","","","CONNECTIONLESS","2026-02-15 11:39:04","","172.21.1.128","","138","","UDP"
"N/A","4","  +- [connection]","","","","","","","","","","CONNECTIONLESS","2026-02-15 11:39:04","","192.168.0.237","","137","","UDP"
"N/A","4","  +- [connection]","","","","","","","","","","CONNECTIONLESS","2026-02-15 11:39:04","","192.168.0.237","","138","","UDP"
"N/A","4","  +- [connection]","","","","","","","","","","CONNECTIONLESS","2026-02-15 11:39:04","","192.168.56.1","","137","","UDP"
"N/A","4","  +- [connection]","","","","","","","","","","CONNECTIONLESS","2026-02-15 11:39:04","","192.168.56.1","","138","","UDP"
"4","140","Secure System.exe","","","","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"4","180","Registry.exe","","","","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"4","728","smss.exe","","","","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"916","1060","csrss.exe","","","","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
